track_id,track_name,track_popularity,track_duration,artist_name,artist_popularity,genres,available_markets,danceability,acousticness,tempo
7ISL3LO8AWP3fKIXunvqTa,Joker And The Thief,67,280466,Wolfmother,65,alternative rock,145,0.264,0.0452,155.376
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,78,240800,Jimi Hendrix,76,acid rock,178,0.438,0.00255,113.253
39W2uHhafCB7CYP6leULxw,Acércate,1,192800,J Balvin,95,latin,95,0.737,0.0521,171.959
5CSID3PvGYFa3zNgid3ClE,One Of Dem Nights (with Jhené Aiko),60,143533,Moneybagg Yo,84,hip hop,178,0.814,0.0898,126.959
4at3d5QWnlibMVN75ECDrp,Pretty Little Fears (feat. J. Cole),75,240341,6LACK,85,alternative r&b,176,0.61,0.696,192.099
7E2C5rBLpCKwQlhJPVFBRS,You’re Mines Still (feat. Drake),79,226220,Yung Bleu,73,alabama rap,178,0.575,0.317,83.004
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,86,260173,The Neighbourhood,86,modern alternative rock,178,0.588,0.0678,85.012
4KpKyRFwN0gcwj58Uqjv7q,STARING AT THE SKY,57,85123,XXXTENTACION,92,emo rap,178,0.557,0.134,140.935
3eZYOQO4UzKrUDYDghtnFw,test drive,76,122174,Ariana Grande,96,pop,178,0.698,0.0251,115.036
46Kcradxrva9Dny4lHU1b3,Miss Jackson (feat. LOLO),66,192053,Panic! At The Disco,84,baroque pop,163,0.642,0.00394,82.002
5e7ldn9Kwo8Aw9Z8ql9cDj,All Eyez On Me (ft. Big Syke),77,307773,2Pac,84,g funk,178,0.873,0.03,93.281
6VR2kI72avC06TP2NcnXd3,A Ella,0,198720,KAROL G,90,latin,95,0.73,0.244,181.988
7aEtlGHoiPAfRB084NiDmx,Beer Never Broke My Heart,77,186733,Luke Combs,85,contemporary country,178,0.538,0.0139,77.001
2nVHqZbOGkKWzlcy1aMbE7,Kashmir - 1990 Remaster,69,508200,Led Zeppelin,82,album rock,162,0.48,0.488,80.617
3XZeOzJ9tqnu58YP6cqApI,RONCA FREESTYLE,65,150060,Bad Bunny,98,latin,177,0.856,0.165,90.041
2993VQSr7a2Dj5hI5xcWG0,Do It On The Tip (feat. City Girls & Hot Girl Meg),70,167370,Megan Thee Stallion,89,houston rap,178,0.943,0.00291,97.542
7ce20yLkzuXXLUhzIDoZih,Before You Go,81,215106,Lewis Capaldi,86,pop,178,0.459,0.604,111.881
3zgdzTkQD8lKpsoUVGFr2E,Nada Valgo Sin Tu Amor,0,195093,Juanes,78,colombian pop,95,0.595,0.155,153.866
0SIooo95Kba3UwPBRUOcmd,"Todos Hablan, Nada Saben",73,163893,Aldo Trujillo,69,corrido,177,0.746,0.725,121.375
00selpxxljfn9n5Pf4K3VR,Show U Off,68,251132,Brent Faiyaz,82,dmv rap,178,0.583,0.643,84.997
3vFZheR74pxUkzxqhXTZ2X,Ruler of Everything,67,222106,Tally Hall,69,ann arbor indie,177,0.58,0.196,83.323
4uuEGH5SVuzkkSFjo2DEiY,Don’t You (Taylor’s Version) (From The Vault),76,208608,Taylor Swift,98,pop,178,0.563,0.514,101.934
5mNV8Mz59bzyuQ53gTw0c0,Where the Party At (feat. Nelly),67,232573,Jagged Edge,67,atl hip hop,176,0.596,0.31,129.491
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,80,151666,Marvin Gaye,78,classic soul,178,0.663,0.43,129.991
5CWPCZUcX299khMQAdQv43,"Matthäus-Passion, BWV 244 / Zweiter Teil: No. 35 ""Geduld! Wenn mich falsche Zungen stechen""",0,219000,Johann Sebastian Bach,80,baroque,95,0.411,0.935,110.7
2xKvuZes9IeLf47ht1E0UK,Devuélveme El Corazón,0,244160,Sebastian Yatra,87,colombian pop,93,0.572,0.0958,154.024
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),77,193838,21 Savage,88,atl hip hop,178,0.647,0.231,172.08
7Li0R5c8ZTSlniu4tilV4p,Pam Pam,0,227280,Wisin & Yandel,85,electro latino,95,0.874,0.121,95.025
6rTInqW3YECMkQsBEHw4sd,Solid (feat. Drake),85,215693,Young Stoner Life,84,hip hop,178,0.887,0.0392,125.987
19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,76,194561,Bobby Shmurda,68,nyc rap,178,0.794,0.0505,167.879
3jYRpwbctfqB77uU7T7K3U,Caught Up In You,65,279333,38 Special,62,album rock,148,0.425,0.0229,131.011
35Dh5MnCUPLN3XyAVtQff3,Do It,71,176786,Chloe x Halle,70,alternative r&b,176,0.725,0.0932,82.966
1h9YqIVjCpHyrDJjaJyfDd,Que Tire Pa Lante,0,210520,Daddy Yankee,91,latin,95,0.659,0.0478,93.979
1DWZUa5Mzf2BwzpHtgbHPY,Good News,76,342040,Mac Miller,87,hip hop,178,0.794,0.853,174.088
5YJtMNWKe55yr49cyJgxva,Everytime We Touch,72,197124,Cascada,71,bubblegum dance,178,0.633,0.00281,142.027
6jmTHeoWvBaSrwWttr8Xvu,I Mean It (feat. Remo),72,236480,G-Eazy,84,hip hop,176,0.712,0.125,140.0
4VywXu6umkIQ2OS0m1I79y,Better Together,71,207680,Jack Johnson,81,neo mellow,10,0.868,0.308,110.059
1ixbwbeBi5ufN4noUKmW5a,Paper Planes,77,205200,M.I.A.,74,dance pop,178,0.447,0.033,172.253
0DiWol3AO6WpXZgp0goxAV,One More Time,79,320357,Daft Punk,86,electro,178,0.611,0.0193,122.752
5FEXPoPnzueFJQCPRIrC3c,Day 'N' Nite (nightmare),74,221266,Kid Cudi,87,hip hop,3,0.871,0.499,137.996
1UFryptUxkCvxBADmd54T5,"Piano Trio in A Minor, Op.50, TH.117: Var. X: Tempo di mazurka - Live",5,87200,Pyotr Ilyich Tchaikovsky,71,classical,95,0.315,0.99,89.296
0b72rOmkspR8dJHsUjaVi4,A Mi Que Me Quedo,66,161493,Los Invasores De Nuevo León,73,corrido,177,0.736,0.046,160.147
0nkzd3yNniB767zSDDdLZ3,Awake and Alive,68,209493,Skillet,77,alternative metal,173,0.434,0.0425,159.932
5YsZxaD7KTBfxFoGCNlHkA,Rompe,0,189040,Daddy Yankee,91,latin,95,0.687,0.0358,176.064
0ky8syPEVEfD7qCxMTW49X,Slatty (feat. Yak Gotti & Lil Duke),71,290280,Young Stoner Life,84,hip hop,178,0.814,0.000544,130.02
20GrahbI4AzAOWxpYfDKkf,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",73,165366,DJ Khaled,84,dance pop,178,0.757,0.00196,124.036
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,73,170640,Taylor Swift,98,pop,178,0.664,0.298,92.875
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,76,224920,Alicia Keys,82,hip pop,178,0.482,0.135,92.513
4sWuPniHClkInYAnzXAYUF,Camelot,73,148759,NLE Choppa,82,memphis hip hop,178,0.787,0.0849,175.046
6PxNpy8jOjyZ8aGCD58LpW,acting like that (feat. Machine Gun Kelly),71,191066,YUNGBLUD,81,british indie rock,178,0.522,6.98e-05,160.01
5QS8PNEWbqTEZyQ6e9ZbJf,Things A Man Oughta Know,70,203373,Lainey Wilson,60,contemporary country,177,0.659,0.513,139.931
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,83,391376,Eagles,80,album rock,161,0.579,0.00574,147.125
3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,75,257690,Drake,99,canadian hip hop,173,0.395,0.19,162.361
